experiment_name,precision,recall,mAP50,mAP50-95,training_time_ms,eval_time_ms
hy-4213948446,0.964720,0.962770,0.976610,0.611940,1152200,4696
hy-4213948446,0.956900,0.939840,0.961790,0.621030,1178439,4811
hy-4213948446,0.947600,0.936510,0.952600,0.597910,1152535,4617
hy-4213948446,0.961950,0.936380,0.978930,0.611910,1140614,4676
hy-4213948446,0.972020,0.919090,0.956070,0.587180,1114610,4688
hy-4213948446,0.957530,0.959340,0.973860,0.605270,1119718,4539
hy-4213948446,0.983420,0.941510,0.975060,0.601620,1203133,5806
hy-4213948446,0.975260,0.957670,0.982310,0.609180,1200302,4660
hy-4213948446,0.949220,0.941800,0.967960,0.584060,1134759,4924
hy-4213948446,0.956070,0.921170,0.961300,0.605840,1150373,4622
hy-4213948446,0.967390,0.851060,0.899280,0.507780,1192591,6426
hy-4213948446,0.973610,0.976110,0.990780,0.613810,1175042,4882
hy-4213948446,0.961780,0.932080,0.971060,0.616380,1187257,4640
hy-4213948446,0.971940,0.941800,0.962640,0.586990,1197215,4699
hy-4213948446,0.962780,0.915340,0.949630,0.587740,1139427,4701
hy-4213948446,0.981600,0.973400,0.978030,0.621470,1132557,4776
hy-1521997286,0.966740,0.984130,0.987580,0.625180,1205616,4629
hy-1521997286,0.939680,0.906680,0.935360,0.580660,1138284,4731
hy-1521997286,0.954410,0.941800,0.969780,0.597450,1158671,4928
hy-1521997286,0.971940,0.947090,0.967200,0.598340,1160127,5072
hy-1521997286,0.886630,0.873620,0.905480,0.474200,1307738,6939
hy-1521997286,0.964640,0.947090,0.972800,0.583440,1186408,4814
hy-1521997286,0.967880,0.956470,0.971490,0.609720,1158441,4913
hy-1521997286,0.969010,0.925930,0.963740,0.605290,1168218,4659
hy-1521997286,0.951170,0.927510,0.959170,0.599780,1150638,4622
hy-1521997286,0.949660,0.936170,0.958260,0.549750,1243450,6743
hy-1521997286,0.941630,0.920630,0.960470,0.605280,1168521,4758
hy-1521997286,0.963880,0.925930,0.947580,0.618780,1171497,4584
hy-1521997286,0.973600,0.975730,0.991500,0.636750,1185016,4648
hy-1521997286,0.956360,0.927680,0.965770,0.596520,1193495,5272
hy-1521997286,0.977460,0.957450,0.974160,0.612290,1132116,4820
hy-1521997286,0.994270,0.941800,0.968330,0.625340,1129796,4623
hy-1521997286,0.946960,0.944700,0.962050,0.503470,1232159,6634
hy-1521997286,0.960220,0.952380,0.961930,0.591850,1194250,5229
hy-1521997286,0.958390,0.910050,0.967380,0.609160,1158118,4719
hy-1521997286,0.937330,0.925530,0.952190,0.610900,1195435,4652
hy-1521997286,0.977280,0.952380,0.983710,0.610880,1179271,4808
hy-1521997286,0.978240,0.951330,0.979800,0.633740,1155646,4723
hy-1521997286,0.905040,0.857140,0.889930,0.477060,1287251,6844
hy-1521997286,0.961570,0.926850,0.951980,0.577450,1268952,4949
hy-1521997286,0.975620,0.952130,0.970910,0.595900,1244942,4834
